University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
IAIN Bone,Perbankan Syariah,S1,PTAN,6922/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-06-18,82 hari lagi kadaluarsa
UIN Raden Intan Lampung,Tasawuf  Dan Psikoterapi,S1,PTAN,6971/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-05-28,61 hari lagi kadaluarsa
IAIN Fattahul Muluk Papua,Manajemen Pendidikan Islam,S1,PTAN,7326/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-08-14,139 hari lagi kadaluarsa
STAIN Bengkalis,Ekonomi Syariah,S1,PTAN,7289/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-06-18,82 hari lagi kadaluarsa
UIN Fatmawati Sukarno Bengkulu,Tadris Bahasa Indonesia,S1,PTAN,7201/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-07-16,110 hari lagi kadaluarsa
STAIN Majene,Hukum Ekonomi Syariah,S1,PTAN,7313/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-01-06,Masih berlaku
UIN Syarif Hidayatullah,Ilmu Al-Qur'an Dan Tafsir,S1,PTAN,7120/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,A,2027-10-25,Masih berlaku
UIN Kiai Haji Achmad Siddiq Jember,Pendidikan Agama Islam,S3,PTAN,7090/SK/BAN-PT/Ak/D/X/2022,2022,Baik,2027-10-11,Masih berlaku
UIN Fatmawati Sukarno Bengkulu,Tadris IPA,S1,PTAN,7873/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-07-16,110 hari lagi kadaluarsa
IAIN Fattahul Muluk Papua,Hukum Tatanegara (Siyasah Syar'iyyah),S1,PTAN,7835/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-07-30,124 hari lagi kadaluarsa
IAIN Kendari,Hukum Keluarga (Ahwal Al-syakhshiyyah),S2,PTAN,7661/SK/BAN-PT/Ak.KP/M/X/2022,2022,Baik,2026-04-14,Masih berlaku
IAIN Kendari,Ekonomi Syariah,S2,PTAN,7576/SK/BAN-PT/Ak.KP/M/X/2022,2022,Baik,2026-04-14,Masih berlaku
UIN Sultan Aji Muhammad Idris Samarinda,Sistem Informasi,S1,PTAN,7365/SK/BAN-PT/Ak.P/S/X/2022,2022,Baik,2024-10-12,Masih berlaku
UIN Fatmawati Sukarno Bengkulu,Studi Islam,S3,PTAN,7362/SK/BAN-PT/Ak.P/D/X/2022,2022,Baik,2024-10-12,Masih berlaku
IAIN Palopo,Hukum Keluarga (Akhwal Syahsiyyah),S2,PTAN,7739/SK/BAN-PT/Ak.KP/M/X/2022,2022,Baik,2027-01-27,Masih berlaku
IAIN Sultan Amai Gorontalo,Ilmu Hadis,S1,PTAN,7570/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2027-04-19,Masih berlaku
IAIN Ambon,Manajemen Bisnis Syariah,S1,PTAN,7497/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-12-15,Masih berlaku
IAIN Pontianak,Psikologi Islam,S1,PTAN,7577/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-12-16,Masih berlaku
IAIN Ambon,Komunikasi Dan Penyiaran Islam,S1,PTAN,7375/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-03-10,Masih berlaku
UIN Sumatera Utara Medan,Perbankan Syariah,S2,PTAN,7565/SK/BAN-PT/Ak/M/X/2022,2022,Baik Sekali,2027-10-12,Masih berlaku
UIN Imam Bonjol Padang,Pendidikan Profesi Guru,Profesi,PTAN,7371/SK/BAN-PT/Ak.P/PP/X/2022,2022,Baik,2024-10-12,Masih berlaku
IAIN Bukittinggi,Manajemen Haji Dan Umroh,S1,PTAN,7392/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-07-02,96 hari lagi kadaluarsa
IAIN Ambon,Pendidikan Agama Islam,S2,PTAN,354/SK/LAMDIK/Ak/M/X/2022,2022,Baik Sekali,2027-04-26,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Pendidikan Teknik Informatika Dan Komputer,S1,PTAN,7898/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik Sekali,2025-08-02,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Sosiologi Agama,S1,PTAN,7900/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-04-06,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Pendidikan Bahasa Arab,S1,PTAN,7895/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2024-07-09,103 hari lagi kadaluarsa
UIN Sjech M. Djamil Djambek Bukittinggi,Pendidikan Agama Islam,S1,PTAN,7910/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Unggul,2025-12-02,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Pariwisata Syariah,S1,PTAN,7911/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-07-30,124 hari lagi kadaluarsa
UIN Sjech M. Djamil Djambek Bukittinggi,Manajemen Haji Dan Umroh,S1,PTAN,7912/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2024-07-02,96 hari lagi kadaluarsa
UIN Sjech M. Djamil Djambek Bukittinggi,Manajemen Bisnis Syariah,S1,PTAN,7909/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-07-16,110 hari lagi kadaluarsa
UIN Sjech M. Djamil Djambek Bukittinggi,Ekonomi Islam,S1,PTAN,7921/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-22,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,7903/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-10-31,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Ilmu Hadis,S1,PTAN,7906/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-15,Masih berlaku
UIN Datokarama Palu,Ekonomi Syariah,S1,PTAN,7959/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-30,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Aqidah Dan Filsafat Islam,S1,PTAN,7919/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-09-10,166 hari lagi kadaluarsa
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Ilmu Al-Qur'an Dan Tafsir,S1,PTAN,7948/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-04-14,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Komunikasi Dan Penyiaran Islam,S1,PTAN,7949/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2025-12-22,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Manajemen Dakwah,S1,PTAN,7950/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2027-03-01,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Agama Islam,S1,PTAN,7947/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2026-03-23,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Bahasa Arab,S1,PTAN,7932/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-10-01,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,7931/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-01-26,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Islam Anak Usia Dini,S1,PTAN,7937/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2027-08-09,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Matematika,S1,PTAN,7933/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-01-12,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Hukum Tata Negara (Siyasah),S1,PTAN,7945/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-09,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Hukum Pidana Islam,S1,PTAN,7946/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2025-12-22,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Ahwal Al Syakhshiyyah,S1,PTAN,7941/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-30,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Bimbingan Dan Konseling Islam,S1,PTAN,7943/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-15,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Ekonomi Syariah,S1,PTAN,7942/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-03-30,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Hukum Ekonomi Syariah,S1,PTAN,7944/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-12-28,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pengembangan Masyarakat Islam,S1,PTAN,7934/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2027-03-22,Masih berlaku
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Perbankan Syariah,S1,PTAN,7935/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2027-01-17,Masih berlaku
UIN Sjech M. Djamil Djambek Bukittinggi,Hukum Islam,S2,PTAN,7915/SK/BAN-PT/Ak-PNB/M/X/2022,2022,Baik Sekali,2026-07-12,Masih berlaku
